symbol,date,price
한미약품,01-29-2019,429500
종근당,11-22-2017,133000
종근당,11-23-2017,137000
종근당,11-24-2017,135000
종근당,11-27-2017,137000
종근당,11-28-2017,134000
종근당,11-29-2017,136500
종근당,11-30-2017,134500
종근당,12-01-2017,139500
종근당,12-04-2017,137500
종근당,12-05-2017,131000
종근당,12-06-2017,126000
종근당,12-07-2017,125000
종근당,12-08-2017,124500
종근당,12-11-2017,130000
종근당,12-12-2017,126500
종근당,12-13-2017,130000
종근당,12-14-2017,134500
종근당,12-15-2017,134000
종근당,12-18-2017,134000
종근당,12-19-2017,134000
종근당,12-20-2017,131000
종근당,12-21-2017,129000
종근당,12-22-2017,136500
종근당,12-26-2017,137000
종근당,12-27-2017,137000
종근당,12-28-2017,138500
종근당,01-02-2018,140500
종근당,01-03-2018,139000
종근당,01-04-2018,133000
종근당,01-05-2018,139000
종근당,01-08-2018,139500
종근당,01-09-2018,145000
종근당,01-10-2018,148000
종근당,01-11-2018,146500
종근당,01-12-2018,149000
종근당,01-15-2018,147500
종근당,01-16-2018,146500
종근당,01-17-2018,142000
종근당,01-18-2018,141500
종근당,01-19-2018,142500
종근당,01-22-2018,144500
종근당,01-23-2018,147500
종근당,01-24-2018,147000
종근당,01-25-2018,153500
종근당,01-26-2018,151000
종근당,01-29-2018,151000
종근당,01-30-2018,151500
종근당,01-31-2018,146500
종근당,02-01-2018,145500
종근당,02-02-2018,145000
종근당,02-05-2018,137500
종근당,02-06-2018,131500
종근당,02-07-2018,130500
종근당,02-08-2018,131000
종근당,02-09-2018,132000
종근당,02-12-2018,135500
종근당,02-13-2018,134500
종근당,02-14-2018,134500
종근당,02-19-2018,135500
종근당,02-20-2018,135500
종근당,02-21-2018,134500
종근당,02-22-2018,130500
종근당,02-23-2018,135000
종근당,02-26-2018,134000
종근당,02-27-2018,136500
종근당,02-28-2018,129500
종근당,03-02-2018,127000
종근당,03-05-2018,128000
종근당,03-06-2018,129000
종근당,03-07-2018,124500
종근당,03-08-2018,128000
종근당,03-09-2018,129500
종근당,03-12-2018,130000
종근당,03-13-2018,128000
종근당,03-14-2018,128500
종근당,03-15-2018,129500
종근당,03-16-2018,127000
종근당,03-19-2018,125000
종근당,03-20-2018,127000
종근당,03-21-2018,128500
종근당,03-22-2018,127500
종근당,03-23-2018,121000
종근당,03-26-2018,124000
종근당,03-27-2018,126000
종근당,03-28-2018,126000
종근당,03-29-2018,127500
종근당,03-30-2018,127500
종근당,04-02-2018,129000
종근당,04-03-2018,127000
종근당,04-04-2018,128500
종근당,04-05-2018,127500
종근당,04-06-2018,128000
종근당,04-09-2018,132000
종근당,04-10-2018,138000
종근당,04-11-2018,136000
종근당,04-12-2018,131000
종근당,04-13-2018,131500
종근당,04-16-2018,133000
종근당,04-17-2018,133000
종근당,04-18-2018,129000
종근당,04-19-2018,125500
종근당,04-20-2018,125000
종근당,04-23-2018,119500
